idx,text,files,url,title,published_date,deadline_date,tag
드림스폰_일반장학금_7833,,,https://www.dreamspon.com/scholarship/view.html?idx=7833,청년문화예술패스 사업,,2024-11-30,"['기타지원', '청년', '한국문화예술위원회']"
드림스폰_일반장학금_7834,,,https://www.dreamspon.com/scholarship/view.html?idx=7834,통일간호리더 간호장학 (2024년),,2024-12-04,"['장학금', '대학생', '전문대']"
드림스폰_일반장학금_6959,,,https://www.dreamspon.com/scholarship/view.html?idx=6959,진안군 진학장학,,2024-12-05,"['장학금', '초등학생', '중학생']"
드림스폰_일반장학금_7851,,,https://www.dreamspon.com/scholarship/view.html?idx=7851,명정장학재단 장학,,2024-12-05,"['장학금', '초등학생', '중학생']"
드림스폰_일반장학금_7810,,,https://www.dreamspon.com/scholarship/view.html?idx=7810,인제군 인재육성기금 장학 (2024년) **변경공고**,,2024-12-06,"['장학금', '고등학생', '대학생']"
드림스폰_일반장학금_7847,,,https://www.dreamspon.com/scholarship/view.html?idx=7847,제 17회 에몬스 장학,,2024-12-06,"['장학금', '대학생', '성적기준']"
드림스폰_일반장학금_7848,,,https://www.dreamspon.com/scholarship/view.html?idx=7848,DB 금융수리 장학,,2024-12-08,"['장학금', '대학생', 'DB김준기재단']"
드림스폰_일반장학금_7835,,,https://www.dreamspon.com/scholarship/view.html?idx=7835,서울시 강서구 미취업청년 자격증 응시료 지원,,2024-12-10,"['기타지원', '청년', '지역기준']"
드림스폰_일반장학금_7836,,,https://www.dreamspon.com/scholarship/view.html?idx=7836,영등포구 청년 국가자격시험 응시료 지원,,2024-12-10,"['기타지원', '청년', '지역기준']"
드림스폰_일반장학금_7849,,,https://www.dreamspon.com/scholarship/view.html?idx=7849,한독제석재단 의학·약학 장학 (2025년),,2024-12-13,"['장학금', '연구지원', '대학생']"
드림스폰_일반장학금_5561,,,https://www.dreamspon.com/scholarship/view.html?idx=5561,한국장학재단 저금리 전환대출,,2024-12-27,"['대출지원', '대학생', '전문대']"
드림스폰_일반장학금_5101,,,https://www.dreamspon.com/scholarship/view.html?idx=5101,강원도 최대 장학재단 강원인재육성평생교육원 드림스폰 MOU,,2024-12-31,[]
드림스폰_일반장학금_5134,,,https://www.dreamspon.com/scholarship/view.html?idx=5134,첫번째 장학금 받는 꿀팁 1,,2024-12-31,[]
드림스폰_일반장학금_7308,,,https://www.dreamspon.com/scholarship/view.html?idx=7308,생활비 장학금 받는 꿀팁 1,,2024-12-31,"['네이버인플루언서', '파워블로거', '장학금받는꿀팁']"
드림스폰_일반장학금_7637,,,https://www.dreamspon.com/scholarship/view.html?idx=7637,고교 취업연계 장려금 (2024년 추가신청),,2024-12-31,"['기타지원', '고등학생', '근로기준']"
드림스폰_일반장학금_7638,,,https://www.dreamspon.com/scholarship/view.html?idx=7638,광주광역시 마음투자 지원사업,,2024-12-31,"['기타지원', '일반인', '특수계층']"
드림스폰_일반장학금_7811,,,https://www.dreamspon.com/scholarship/view.html?idx=7811,포스텍 박사후연구원 펠로우십 (2025년 상반기),,2024-12-31,"['기타지원', '대학원생', '일반인']"
